Academic Year,Subject Id,Subject Code,Subject Number,Print Subject Id,Subject Short Title,Subject Title,Total Units,Is Offered This Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
2018,14.282,14,282,14.282,"Organizational Economics","Introduction to Organizational Economics",12.00,Y,Y,N,N,N
2018,14.283,14,283,14.283,"Adv Top: Organizational Econ I","Advanced Topics in Organizational Economics I",6.00,Y,N,N,Y,N
2018,14.284,14,284,14.284,"Adv Top: Organizationl Econ II","Advanced Topics in Organizational Economics II",6.00,Y,N,N,Y,N
2018,14.30,14,30,14.30,"Intro Statistical Meth in Econ","Introduction to Statistical Methods in Economics",12.00,Y,Y,N,N,N
2018,14.122,14,122,14.122,"Microeconomic Theory II","Microeconomic Theory II",6.00,Y,Y,N,N,N
2018,14.123,14,123,14.123,"Microeconomic Theory III","Microeconomic Theory III",6.00,Y,N,N,Y,N
2018,14.124,14,124,14.124,"Microeconomic Theory IV","Microeconomic Theory IV",6.00,Y,N,N,Y,N
2018,14.125,14,125,14.125,"Market Design","Market Design",12.00,Y,N,N,Y,N
2018,14.126,14,126,14.126,"Game Theory","Game Theory",12.00,Y,N,N,Y,N
2018,14.129,14,129,14.129,"Advanced Contract Theory","Advanced Contract Theory",6.00,Y,N,N,Y,N
2018,14.13,14,13,14.13,"Economics & Psychology","Economics and Psychology",12.00,Y,Y,N,N,N
2018,14.137,14,137,14.137J,"Psychology and Economics","Psychology and Economics",12.00,Y,N,N,Y,N
2018,14.147,14,147,14.147,"Topics in Game Theory","Topics in Game Theory",12.00,Y,N,N,Y,N
2018,14.03,14,03,14.03,"Microecon Theory & Public Pol","Microeconomic Theory and Public Policy",12.00,Y,Y,N,Y,N
2018,14.04,14,04,14.04,"Intermediate Microecon Theory","Intermediate Microeconomic Theory",12.00,Y,Y,N,N,N
2018,14.05,14,05,14.05,"Intermediate Macroecnomics","Intermediate Macroeconomics",12.00,Y,N,N,Y,N
2018,14.06,14,06,14.06,"Adv Macroeconomics","Advanced Macroeconomics",12.00,Y,Y,N,N,N
2018,14.08,14,08,14.08,"Technical Topics in Economics","Technical Topics in Economics",12.00,Y,Y,N,Y,N
2018,14.09,14,09,14.09,"Reading Seminar in Economics","Reading Seminar in Economics",0.00,Y,Y,Y,Y,Y
2018,14.10,14,10,14.10,"Reading Seminar in Economics","Reading Seminar in Economics",0.00,Y,Y,Y,Y,Y
2018,14.11,14,11,14.11,"Topics in Economics","Topics in Economics",12.00,N,Y,N,N,N
2018,14.12,14,12,14.12,"Econ Apps of Game Theory","Economic Applications of Game Theory",12.00,Y,Y,N,N,N
2018,14.121,14,121,14.121,"Microeconomic Theory I","Microeconomic Theory I",6.00,Y,Y,N,N,N
2018,14.41,14,41,14.41,"Public Finance & Public Policy","Public Finance and Public Policy",12.00,Y,Y,N,N,N
2018,14.410,14,410,14.410,"Public Finance & Public Policy","Public Finance and Public Policy",12.00,Y,Y,N,N,N
2018,14.416,14,416,14.416J,"Intro to Financial Economics","Introduction to Financial Economics",12.00,Y,Y,N,N,N
